;;;;;;;;;;;;;;;;;;;;;delta12[?s];delta23[?s];delta34[?s];delta54[?s];Razem[?s];Przesy³ SerialPort [s];Przesy³ SerialPort [Hz]
-51,09;-163,53;7,91;9271140;-96,12;162,34;-19,61;9278388;143,96;-179,09;-2,81;9283844;151,2;176,02;15,41;9289308;-0,65;9,8;-7,59;9296452;7073085;7248;5456;5464;7144;25312;0,131308;7,615682213
-51,09;-163,53;7,91;9401920;-96,12;162,34;-19,61;9409756;143,96;-179,09;-2,81;9415156;151,2;176,02;15,41;9420892;-0,65;9,8;-7,59;9427920;7204074;7836;5400;5736;7028;26000;0,130989;7,634228828
-51,09;-163,53;7,91;9533104;-96,12;162,34;-19,61;9541108;143,96;-179,09;-2,81;9547552;151,2;176,02;15,41;9552864;-0,65;9,8;-7,59;9559224;7335203;8004;6444;5312;6360;26120;0,131129;7,626078137
-51,09;-163,53;7,91;9664740;-96,12;162,34;-19,61;9672248;143,96;-179,09;-2,81;9679836;151,2;176,02;15,41;9687212;-0,65;9,8;-7,59;9693068;7466029;7508;7588;7376;5856;28328;0,130826;7,643740541
-51,09;-163,53;7,91;9798684;-96,12;162,34;-19,61;9804532;143,96;-179,09;-2,81;9812480;151,2;176,02;15,41;9818616;-0,65;9,8;-7,59;9824476;7601450;5848;7948;6136;5860;25792;0,135421;7,384379084
-51,09;-163,53;7,91;9931948;-96,12;162,34;-19,61;9937640;143,96;-179,09;-2,81;9943884;151,2;176,02;15,41;9949632;-0,65;9,8;-7,59;9955468;7735456;5692;6244;5748;5836;23520;0,134006;7,462352432
-51,09;-163,53;7,91;10062916;-96,12;162,34;-19,61;10068788;143,96;-179,09;-2,81;10074520;151,2;176,02;15,41;10079872;-0,65;9,8;-7,59;10085336;7866580;5872;5732;5352;5464;22420;0,131124;7,626368933
-51,09;-163,53;7,91;10192848;-96,12;162,34;-19,61;10198136;143,96;-179,09;-2,81;10204300;151,2;176,02;15,41;10209928;-0,65;9,8;-7,59;10215376;7994140;5288;6164;5628;5448;22528;0,12756;7,839448103
-51,09;-163,53;7,91;10323140;-96,12;162,34;-19,61;10328848;143,96;-179,09;-2,81;10334664;151,2;176,02;15,41;10340264;-0,65;9,8;-7,59;10346100;8125677;5708;5816;5600;5836;22960;0,131537;7,602423653
-51,09;-163,53;7,91;10451696;-96,12;162,34;-19,61;10457556;143,96;-179,09;-2,81;10464268;151,2;176,02;15,41;10470212;-0,65;9,8;-7,59;10476648;8255700;5860;6712;5944;6436;24952;0,130023;7,690946986
-51,09;-163,53;7,91;10584264;-96,12;162,34;-19,61;10589988;143,96;-179,09;-2,81;10595440;151,2;176,02;15,41;10600900;-0,65;9,8;-7,59;10607460;8387818;5724;5452;5460;6560;23196;0,132118;7,568991356
-51,09;-163,53;7,91;10715004;-96,12;162,34;-19,61;10720736;143,96;-179,09;-2,81;10726360;151,2;176,02;15,41;10731712;-0,65;9,8;-7,59;10738452;8518942;5732;5624;5352;6740;23448;0,131124;7,626368933
-51,09;-163,53;7,91;10846000;-96,12;162,34;-19,61;10851280;143,96;-179,09;-2,81;10857136;151,2;176,02;15,41;10862924;-0,65;9,8;-7,59;10869492;8650287;5280;5856;5788;6568;23492;0,131345;7,613536869
-51,09;-163,53;7,91;10976916;-96,12;162,34;-19,61;10983140;143,96;-179,09;-2,81;10990284;151,2;176,02;15,41;10998436;-0,65;9,8;-7,59;11005124;8780935;6224;7144;8152;6688;28208;0,130648;7,654154675
-51,09;-163,53;7,91;11110364;-96,12;162,34;-19,61;11117964;143,96;-179,09;-2,81;11124596;151,2;176,02;15,41;11130896;-0,65;9,8;-7,59;11139492;8914015;7600;6632;6300;8596;29128;0,13308;7,514277127
-51,09;-163,53;7,91;11247348;-96,12;162,34;-19,61;11252644;143,96;-179,09;-2,81;11258892;151,2;176,02;15,41;11265276;-0,65;9,8;-7,59;11272320;9051216;5296;6248;6384;7044;24972;0,137201;7,288576614
-51,09;-163,53;7,91;11379140;-96,12;162,34;-19,61;11385896;143,96;-179,09;-2,81;11393588;151,2;176,02;15,41;11400644;-0,65;9,8;-7,59;11406532;9182432;6756;7692;7056;5888;27392;0,131216;7,621021827
-51,09;-163,53;7,91;11511768;-96,12;162,34;-19,61;11519308;143,96;-179,09;-2,81;11525488;151,2;176,02;15,41;11531676;-0,65;9,8;-7,59;11537552;9316437;7540;6180;6188;5876;25784;0,134005;7,462408119
-51,09;-163,53;7,91;11642972;-96,12;162,34;-19,61;11650768;143,96;-179,09;-2,81;11656204;151,2;176,02;15,41;11662108;-0,65;9,8;-7,59;11668060;9447562;7796;5436;5904;5952;25088;0,131125;7,626310772
-51,09;-163,53;7,91;11773300;-96,12;162,34;-19,61;11780852;143,96;-179,09;-2,81;11786304;151,2;176,02;15,41;11792252;-0,65;9,8;-7,59;11797756;9578557;7552;5452;5948;5504;24456;0,130995;7,633879156
-51,09;-163,53;7,91;11903104;-96,12;162,34;-19,61;11908392;143,96;-179,09;-2,81;11915396;151,2;176,02;15,41;11921816;-0,65;9,8;-7,59;11927992;9706295;5288;7004;6420;6176;24888;0,127738;7,82852401
-51,09;-163,53;7,91;12033456;-96,12;162,34;-19,61;12041292;143,96;-179,09;-2,81;12046728;151,2;176,02;15,41;12052884;-0,65;9,8;-7,59;12059052;9837677;7836;5436;6156;6168;25596;0,131382;7,611392733
-51,09;-163,53;7,91;12164288;-96,12;162,34;-19,61;12171996;143,96;-179,09;-2,81;12177692;151,2;176,02;15,41;12183292;-0,65;9,8;-7,59;12189880;9968799;7708;5696;5600;6588;25592;0,131122;7,626485258
-51,09;-163,53;7,91;12295112;-96,12;162,34;-19,61;12302764;143,96;-179,09;-2,81;12308624;151,2;176,02;15,41;12313976;-0,65;9,8;-7,59;12320612;10099907;7652;5860;5352;6636;25500;0,131108;7,627299631
-51,09;-163,53;7,91;12425840;-96,12;162,34;-19,61;12433368;143,96;-179,09;-2,81;12439232;151,2;176,02;15,41;12444728;-0,65;9,8;-7,59;12451748;10229605;7528;5864;5496;7020;25908;0,129698;7,710219124
-51,09;-163,53;7,91;12556984;-96,12;162,34;-19,61;12563576;143,96;-179,09;-2,81;12569020;151,2;176,02;15,41;12574360;-0,65;9,8;-7,59;12581924;10361918;6592;5444;5340;7564;24940;0,132313;7,557836343
-51,09;-163,53;7,91;12687164;-96,12;162,34;-19,61;12694756;143,96;-179,09;-2,81;12701808;151,2;176,02;15,41;12707160;-0,65;9,8;-7,59;12713740;10492519;7592;7052;5352;6580;26576;0,130601;7,656909212
-51,09;-163,53;7,91;12819432;-96,12;162,34;-19,61;12826252;143,96;-179,09;-2,81;12834184;151,2;176,02;15,41;12841824;-0,65;9,8;-7,59;12847724;10623996;6820;7932;7640;5900;28292;0,131477;7,605893046
-51,09;-163,53;7,91;12955180;-96,12;162,34;-19,61;12960460;143,96;-179,09;-2,81;12966920;151,2;176,02;15,41;12973484;-0,65;9,8;-7,59;12979380;10758685;5280;6460;6564;5896;24200;0,134689;7,424511282
-51,09;-163,53;7,91;13086280;-96,12;162,34;-19,61;13092816;143,96;-179,09;-2,81;13098404;151,2;176,02;15,41;13104540;-0,65;9,8;-7,59;13110008;10890287;6536;5588;6136;5468;23728;0,131602;7,598668713
-51,09;-163,53;7,91;13216888;-96,12;162,34;-19,61;13223536;143,96;-179,09;-2,81;13229420;151,2;176,02;15,41;13234952;-0,65;9,8;-7,59;13240840;11021548;6648;5884;5532;5888;23952;0,131261;7,618409124
-51,09;-163,53;7,91;13347712;-96,12;162,34;-19,61;13354712;143,96;-179,09;-2,81;13361036;151,2;176,02;15,41;13366836;-0,65;9,8;-7,59;13373148;11152409;7000;6324;5800;6312;25436;0,130861;7,641696151
-51,09;-163,53;7,91;13479096;-96,12;162,34;-19,61;13487044;143,96;-179,09;-2,81;13494816;151,2;176,02;15,41;13502712;-0,65;9,8;-7,59;13509888;11283532;7948;7772;7896;7176;30792;0,131123;7,626427095
-51,09;-163,53;7,91;13615568;-96,12;162,34;-19,61;13621076;143,96;-179,09;-2,81;13627336;151,2;176,02;15,41;13634308;-0,65;9,8;-7,59;13641072;11421637;5508;6260;6972;6764;25504;0,138105;7,240867456
-51,09;-163,53;7,91;13748528;-96,12;162,34;-19,61;13754380;143,96;-179,09;-2,81;13760232;151,2;176,02;15,41;13765828;-0,65;9,8;-7,59;13772360;11553419;5852;5852;5596;6532;23832;0,131782;7,588289751
-51,09;-163,53;7,91;13879600;-96,12;162,34;-19,61;13886164;143,96;-179,09;-2,81;13893488;151,2;176,02;15,41;13900208;-0,65;9,8;-7,59;13906116;11684903;6564;7324;6720;5908;26516;0,131484;7,60548812
-51,09;-163,53;7,91;14011812;-96,12;162,34;-19,61;14017360;143,96;-179,09;-2,81;14023236;151,2;176,02;15,41;14029420;-0,65;9,8;-7,59;14035160;11815925;5548;5876;6184;5740;23348;0,131022;7,632306025
-51,09;-163,53;7,91;14141472;-96,12;162,34;-19,61;14148788;143,96;-179,09;-2,81;14156448;151,2;176,02;15,41;14162216;-0,65;9,8;-7,59;14167668;11947026;7316;7660;5768;5452;26196;0,131101;7,627706882
-51,09;-163,53;7,91;14272928;-96,12;162,34;-19,61;14280776;143,96;-179,09;-2,81;14287400;151,2;176,02;15,41;14294924;-0,65;9,8;-7,59;14301988;12078025;7848;6624;7524;7064;29060;0,130999;7,633646058
-51,09;-163,53;7,91;14409524;-96,12;162,34;-19,61;14414808;143,96;-179,09;-2,81;14420248;151,2;176,02;15,41;14426428;-0,65;9,8;-7,59;14433944;12216277;5284;5440;6180;7516;24420;0,138252;7,233168417
-51,09;-163,53;7,91;14541480;-96,12;162,34;-19,61;14547184;143,96;-179,09;-2,81;14555128;151,2;176,02;15,41;14560488;-0,65;9,8;-7,59;14568000;12348395;5704;7944;5360;7512;26520;0,132118;7,568991356
-51,09;-163,53;7,91;14673960;-96,12;162,34;-19,61;14681660;143,96;-179,09;-2,81;14688072;151,2;176,02;15,41;14695512;-0,65;9,8;-7,59;14700964;12479520;7700;6412;7440;5452;27004;0,131125;7,626310772
-51,09;-163,53;7,91;14806336;-96,12;162,34;-19,61;14813880;143,96;-179,09;-2,81;14819304;151,2;176,02;15,41;14826260;-0,65;9,8;-7,59;14831740;12613523;7544;5424;6956;5480;25404;0,134003;7,462519496
-51,09;-163,53;7,91;14937348;-96,12;162,34;-19,61;14944848;143,96;-179,09;-2,81;14950704;151,2;176,02;15,41;14957168;-0,65;9,8;-7,59;14962668;12744383;7500;5856;6464;5500;25320;0,13086;7,641754547
-51,09;-163,53;7,91;15067912;-96,12;162,34;-19,61;15074476;143,96;-179,09;-2,81;15079916;151,2;176,02;15,41;15086664;-0,65;9,8;-7,59;15092996;12875643;6564;5440;6748;6332;25084;0,13126;7,618467164
-51,09;-163,53;7,91;15198656;-96,12;162,34;-19,61;15206024;143,96;-179,09;-2,81;15211892;151,2;176,02;15,41;15217840;-0,65;9,8;-7,59;15224308;13003633;7368;5868;5948;6468;25652;0,12799;7,813110399
