"119.16 179.21 1.35 10337116 155.48 -174.50 -24.93 10343356 -150.78 178.80 -4.56 10350828 143.40 -173.87 -18.39 10356396 -0.57 5.56 -11.62 10362784" 8135404
"119.16 179.21 1.35 10468232 155.48 -174.50 -24.93 10475196 -150.78 178.80 -4.56 10482352 143.40 -173.87 -18.39 10487928 -0.57 5.56 -11.62 10493580" 8266835
"119.16 179.21 1.35 10599008 155.48 -174.50 -24.93 10606016 -150.78 178.80 -4.56 10613020 143.40 -173.87 -18.39 10619024 -0.57 5.56 -11.62 10625108" 8397970
"119.16 179.21 1.35 10730984 155.48 -174.50 -24.93 10736956 -150.78 178.80 -4.56 10744024 143.40 -173.87 -18.39 10750864 -0.57 5.56 -11.62 10756520" 8529137
"119.16 179.21 1.35 10863012 155.48 -174.50 -24.93 10870884 -150.78 178.80 -4.56 10876532 143.40 -173.87 -18.39 10884384 -0.57 5.56 -11.62 10891924" 8659975
"119.16 179.21 1.35 10998988 155.48 -174.50 -24.93 11004912 -150.78 178.80 -4.56 11012460 143.40 -173.87 -18.39 11018024 -0.57 5.56 -11.62 11023784" 8798378
"119.16 179.21 1.35 11130080 155.48 -174.50 -24.93 11135608 -150.78 178.80 -4.56 11141260 143.40 -173.87 -18.39 11147432 -0.57 5.56 -11.62 11153860" 8929455
"119.16 179.21 1.35 11260396 155.48 -174.50 -24.93 11266356 -150.78 178.80 -4.56 11273300 143.40 -173.87 -18.39 11279404 -0.57 5.56 -11.62 11285560" 9060473
"119.16 179.21 1.35 11391376 155.48 -174.50 -24.93 11397344 -150.78 178.80 -4.56 11404304 143.40 -173.87 -18.39 11410344 -0.57 5.56 -11.62 11416468" 9191907
"119.16 179.21 1.35 11522092 155.48 -174.50 -24.93 11528060 -150.78 178.80 -4.56 11534656 143.40 -173.87 -18.39 11540232 -0.57 5.56 -11.62 11546336" 9322911
"119.16 179.21 1.35 11652584 155.48 -174.50 -24.93 11658576 -150.78 178.80 -4.56 11664668 143.40 -173.87 -18.39 11670692 -0.57 5.56 -11.62 11677084" 9450463
"119.16 179.21 1.35 11782912 155.48 -174.50 -24.93 11788444 -150.78 178.80 -4.56 11794092 143.40 -173.87 -18.39 11800100 -0.57 5.56 -11.62 11805752" 9581478
"119.16 179.21 1.35 11912532 155.48 -174.50 -24.93 11918052 -150.78 178.80 -4.56 11924092 143.40 -173.87 -18.39 11929892 -0.57 5.56 -11.62 11935924" 9712474
"119.16 179.21 1.35 12043040 155.48 -174.50 -24.93 12048572 -150.78 178.80 -4.56 12054844 143.40 -173.87 -18.39 12060868 -0.57 5.56 -11.62 12066988" 9843220
"119.16 179.21 1.35 12173656 155.48 -174.50 -24.93 12179180 -150.78 178.80 -4.56 12185708 143.40 -173.87 -18.39 12191276 -0.57 5.56 -11.62 12197496" 9973947
"119.16 179.21 1.35 12304328 155.48 -174.50 -24.93 12309852 -150.78 178.80 -4.56 12316572 143.40 -173.87 -18.39 12323676 -0.57 5.56 -11.62 12331860" 10105173
"119.16 179.21 1.35 12437740 155.48 -174.50 -24.93 12443268 -150.78 178.80 -4.56 12448928 143.40 -173.87 -18.39 12456676 -0.57 5.56 -11.62 12463744" 10236105
"119.16 179.21 1.35 12570960 155.48 -174.50 -24.93 12578708 -150.78 178.80 -4.56 12586672 143.40 -173.87 -18.39 12592248 -0.57 5.56 -11.62 12599292" 10371522
"119.16 179.21 1.35 12706012 155.48 -174.50 -24.93 12711532 -150.78 178.80 -4.56 12718984 143.40 -173.87 -18.39 12727064 -0.57 5.56 -11.62 12734056" 10506529
"119.16 179.21 1.35 12840200 155.48 -174.50 -24.93 12846116 -150.78 178.80 -4.56 12851780 143.40 -173.87 -18.39 12858948 -0.57 5.56 -11.62 12865184" 10641549
"119.16 179.21 1.35 12972172 155.48 -174.50 -24.93 12980036 -150.78 178.80 -4.56 12987456 143.40 -173.87 -18.39 12993028 -0.57 5.56 -11.62 13000412" 10772541
"119.16 179.21 1.35 13107388 155.48 -174.50 -24.93 13113088 -150.78 178.80 -4.56 13121064 143.40 -173.87 -18.39 13128864 -0.57 5.56 -11.62 13135140" 10907994
"119.16 179.21 1.35 13241012 155.48 -174.50 -24.93 13246532 -150.78 178.80 -4.56 13253708 143.40 -173.87 -18.39 13260236 -0.57 5.56 -11.62 13265876" 11042976
"119.16 179.21 1.35 13371760 155.48 -174.50 -24.93 13378784 -150.78 178.80 -4.56 13385196 143.40 -173.87 -18.39 13391236 -0.57 5.56 -11.62 13397436" 11170244
"119.16 179.21 1.35 13504424 155.48 -174.50 -24.93 13512248 -150.78 178.80 -4.56 13518340 143.40 -173.87 -18.39 13525116 -0.57 5.56 -11.62 13533056" 11305020
"119.16 179.21 1.35 13639572 155.48 -174.50 -24.93 13645664 -150.78 178.80 -4.56 13653548 143.40 -173.87 -18.39 13660416 -0.57 5.56 -11.62 13666116" 11440553
"119.16 179.21 1.35 13771560 155.48 -174.50 -24.93 13777088 -150.78 178.80 -4.56 13785576 143.40 -173.87 -18.39 13791912 -0.57 5.56 -11.62 13798028" 11571586
"119.16 179.21 1.35 13903904 155.48 -174.50 -24.93 13910628 -150.78 178.80 -4.56 13917560 143.40 -173.87 -18.39 13923672 -0.57 5.56 -11.62 13931076" 11703094
"119.16 179.21 1.35 14039228 155.48 -174.50 -24.93 14046540 -150.78 178.80 -4.56 14052632 143.40 -173.87 -18.39 14060424 -0.57 5.56 -11.62 14066360" 11841203
"119.16 179.21 1.35 14172448 155.48 -174.50 -24.93 14178168 -150.78 178.80 -4.56 14184288 143.40 -173.87 -18.39 14191472 -0.57 5.56 -11.62 14197124" 11973551
