-35.98 -171.39 2.80 8062016162.99 -175.69 -28.28 8069288-161.58 179.04 -5.94 807488441.43 174.52 2.08 8081660-0.54 5.69 -10.76 808945,5855880
-35.98 -171.39 2.80 8196656162.99 -175.69 -28.28 8202488-161.58 179.04 -5.94 820928441.43 174.52 2.08 8215532-0.54 5.69 -10.76 822193,5990887
-35.98 -171.39 2.80 8328280162.99 -175.69 -28.28 8334632-161.58 179.04 -5.94 834298441.43 174.52 2.08 8350712-0.54 5.69 -10.76 835614,6121892
-35.98 -171.39 2.80 8462084162.99 -175.69 -28.28 8470056-161.58 179.04 -5.94 847665641.43 174.52 2.08 8482904-0.54 5.69 -10.76 849066,6257524
-35.98 -171.39 2.80 8597696162.99 -175.69 -28.28 8603092-161.58 179.04 -5.94 860868841.43 174.52 2.08 8614512-0.54 5.69 -10.76 862156,6392876
-35.98 -171.39 2.80 8728840162.99 -175.69 -28.28 8734700-161.58 179.04 -5.94 874030041.43 174.52 2.08 8746948-0.54 5.69 -10.76 875293,6523356
-35.98 -171.39 2.80 8859708162.99 -175.69 -28.28 8865540-161.58 179.04 -5.94 887114041.43 174.52 2.08 8878496-0.54 5.69 -10.76 888391,6654362
-35.98 -171.39 2.80 8990564162.99 -175.69 -28.28 8996412-161.58 179.04 -5.94 900200841.43 174.52 2.08 9010136-0.54 5.69 -10.76 901654,6785870
-35.98 -171.39 2.80 9121992162.99 -175.69 -28.28 9127384-161.58 179.04 -5.94 913297641.43 174.52 2.08 9138892-0.54 5.69 -10.76 914452,6916509
-35.98 -171.39 2.80 9251332162.99 -175.69 -28.28 9257204-161.58 179.04 -5.94 926342041.43 174.52 2.08 9271172-0.54 5.69 -10.76 927853,7047887
-35.98 -171.39 2.80 9384156162.99 -175.69 -28.28 9392168-161.58 179.04 -5.94 939927241.43 174.52 2.08 9404740-0.54 5.69 -10.76 941199,7178538
-35.98 -171.39 2.80 9520324162.99 -175.69 -28.28 9526496-161.58 179.04 -5.94 953351641.43 174.52 2.08 9539440-0.54 5.69 -10.76 954533,7317870
-35.98 -171.39 2.80 9651900162.99 -175.69 -28.28 9657276-161.58 179.04 -5.94 966500041.43 174.52 2.08 9672684-0.54 5.69 -10.76 968070,7448945
-35.98 -171.39 2.80 9786540162.99 -175.69 -28.28 9794500-161.58 179.04 -5.94 980054841.43 174.52 2.08 9806448-0.54 5.69 -10.76 981296,7583948
-35.98 -171.39 2.80 9920316162.99 -175.69 -28.28 9927224-161.58 179.04 -5.94 993282441.43 174.52 2.08 9938292-0.54 5.69 -10.76 994398,7716288
-35.98 -171.39 2.80 10049352162.99 -175.69 -28.28 10056944-161.58 179.04 -5.94 1006339641.43 174.52 2.08 10071408-0.54 5.69 -10.76 1007801,7846410
-35.98 -171.39 2.80 10184924162.99 -175.69 -28.28 10190804-161.58 179.04 -5.94 1019874841.43 174.52 2.08 10205008-0.54 5.69 -10.76 1021200,7981422
-35.98 -171.39 2.80 10317744162.99 -175.69 -28.28 10325016-161.58 179.04 -5.94 1033170441.43 174.52 2.08 10337236-0.54 5.69 -10.76 1034375,8112628
-35.98 -171.39 2.80 10449196162.99 -175.69 -28.28 10457312-161.58 179.04 -5.94 1046315641.43 174.52 2.08 10470232-0.54 5.69 -10.76 1047606,8247420
-35.98 -171.39 2.80 10584404162.99 -175.69 -28.28 10590612-161.58 179.04 -5.94 1059672041.43 174.52 2.08 10604264-0.54 5.69 -10.76 1061045,8382515
-35.98 -171.39 2.80 10717100162.99 -175.69 -28.28 10722828-161.58 179.04 -5.94 1073004841.43 174.52 2.08 10736152-0.54 5.69 -10.76 1074337,8514442
-35.98 -171.39 2.80 10848844162.99 -175.69 -28.28 10855008-161.58 179.04 -5.94 1086329241.43 174.52 2.08 10869792-0.54 5.69 -10.76 1087524,8645312
-35.98 -171.39 2.80 10981128162.99 -175.69 -28.28 10986580-161.58 179.04 -5.94 1099260041.43 174.52 2.08 10998580-0.54 5.69 -10.76 1100494,8779999
